period,org_code,parent_org,org_name,type1_att,type2_att,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,type1_breach,type2_breach,other_breach,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,wait_12plus,type1_admissions,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,other_admissions,breach_rate,admission_rate,severe_wait_ratio,breached
MSitAE-APRIL-2022,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5536,0,0,139,0,0,2236,0,0,31,0,0,179,270,1257,0,0,388,0.40390173410404623,0.2270592485549133,0.048771676300578035,1
MSitAE-APRIL-2022,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,7012,0,2819,205,0,70,2796,0,93,59,0,3,493,180,2206,0,209,455,0.3987450085567598,0.31460353679406733,0.02567027952082145,1
MSitAE-APRIL-2022,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5851,0,1199,177,0,1,2124,0,3,50,0,1,462,306,1484,0,0,420,0.3630148692531191,0.25363185780208514,0.05229875235002564,1
MSitAE-APRIL-2022,RTP,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,9376,0,1131,78,0,0,2939,0,0,3,0,0,1409,0,2324,0,0,356,0.3134598976109215,0.24786689419795221,0.0,1
MSitAE-APRIL-2022,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13642,0,0,0,0,0,3732,0,0,0,0,0,727,0,2847,0,0,769,0.27356692567072277,0.20869373992083273,0.0,0
MSitAE-APRIL-2022,RA4,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,5012,0,0,0,0,0,1103,0,0,0,0,0,87,1,1518,0,0,219,0.22007182761372707,0.30287310454908223,0.00019952114924181964,0
MSitAE-APRIL-2022,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5235,0,2612,169,0,0,3252,0,29,86,0,0,570,155,1582,0,0,1093,0.6212034383954155,0.30219675262655205,0.029608404966571154,1
MSitAE-APRIL-2022,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7752,0,0,687,0,0,3109,0,0,0,0,0,518,0,2314,0,0,453,0.4010577915376677,0.29850361197110425,0.0,1
MSitAE-APRIL-2022,RFR,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE ROTHERHAM NHS FOUNDATION TRUST,7308,0,0,184,0,0,0,0,0,0,0,0,639,0,2338,0,0,517,0.0,0.31992337164750956,0.0,0
MSitAE-APRIL-2022,RGN,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,11113,0,4624,189,0,434,6066,0,778,24,0,26,702,450,2857,0,85,1385,0.5458472059749843,0.25708629532979393,0.04049311617025106,1
MSitAE-APRIL-2022,RPA,NHS ENGLAND SOUTH EAST ,MEDWAY NHS FOUNDATION TRUST,7632,0,6000,487,0,1084,3236,0,767,149,0,0,817,84,2299,0,0,1016,0.4240041928721174,0.3012316561844864,0.0110062893081761,1
MSitAE-APRIL-2022,RTG,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,15452,0,12413,119,0,55,8820,0,1776,47,0,9,1438,432,4022,0,259,1418,0.5707998964535336,0.2602899301061351,0.0279575459487445,1
MSitAE-APRIL-2022,RWA,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10199,0,0,0,0,0,5180,0,0,0,0,0,1029,336,2317,0,0,1232,0.5078929306794784,0.22717913520933425,0.032944406314344546,1
MSitAE-APRIL-2022,R0D,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,12571,0,0,246,0,0,0,0,0,0,0,0,976,171,3702,6,0,1783,0.0,0.2944873120674568,0.013602736456924667,0
MSitAE-APRIL-2022,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",11726,1988,11065,0,0,0,7909,420,1917,0,0,0,994,724,4324,0,0,761,0.6744840525328331,0.3687531980214907,0.06174313491386662,1
MSitAE-APRIL-2022,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6619,0,445,69,0,0,0,0,0,0,0,0,516,66,1567,0,0,679,0.0,0.23674271037921135,0.009971294757516241,0
MSitAE-APRIL-2022,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12751,0,6665,53,0,688,3881,0,630,0,0,6,852,30,5293,0,0,765,0.3043682848404047,0.4151046976707709,0.0023527566465375263,1
MSitAE-APRIL-2022,RQ3,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,5348,0,0,0,0,0,767,0,0,0,0,0,0,0,913,0,0,204,0.14341810022438295,0.1707180254300673,0.0,0
MSitAE-APRIL-2022,RR7,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,5400,0,3302,9,0,43,2130,0,30,4,0,0,846,71,1628,0,0,720,0.39444444444444443,0.30148148148148146,0.013148148148148148,1
MSitAE-APRIL-2022,RTK,NHS ENGLAND SOUTH EAST ,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9599,0,0,0,0,499,3422,0,0,0,0,20,529,4,1876,0,0,344,0.3564954682779456,0.19543702469007188,0.00041671007396603814,1
MSitAE-APRIL-2022,R1K,NHS ENGLAND LONDON,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,11411,0,15514,331,0,0,5275,0,1954,143,0,0,971,253,5812,0,0,1633,0.46227324511436335,0.5093330996406976,0.02217158881780738,1
MSitAE-APRIL-2022,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6622,0,444,0,0,0,3011,0,1,0,0,0,562,0,1432,0,0,763,0.4546964663243733,0.2162488674116581,0.0,1
MSitAE-APRIL-2022,RLT,NHS ENGLAND MIDLANDS ,GEORGE ELIOT HOSPITAL NHS TRUST,5711,0,1478,416,0,325,1928,0,61,0,0,0,553,0,1450,0,0,69,0.3375941166170548,0.25389599019436176,0.0,1
MSitAE-APRIL-2022,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19085,1686,0,0,0,0,9051,94,0,0,0,0,1445,781,4401,1,0,2992,0.47424679067330366,0.23059994760282945,0.04092219020172911,1
MSitAE-APRIL-2022,RWG,NHS ENGLAND EAST OF ENGLAND ,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,7412,0,6187,0,0,1132,4681,0,776,0,0,126,1030,0,2808,0,0,659,0.6315434430652995,0.3788451160280626,0.0,1
MSitAE-APRIL-2022,RBS,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,5412,0,0,0,0,0,1482,0,0,0,0,0,0,0,964,0,0,215,0.2738359201773836,0.17812269031781228,0.0,0
MSitAE-APRIL-2022,RDU,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,17878,0,0,2053,0,0,0,0,0,0,0,0,1718,0,4525,0,0,805,0.0,0.2531043740910616,0.0,0
MSitAE-APRIL-2022,RJC,NHS ENGLAND MIDLANDS ,SOUTH WARWICKSHIRE NHS FOUNDATION TRUST,7011,0,0,37,0,0,2295,0,0,8,0,0,412,0,1899,0,0,530,0.32734274711168165,0.27086007702182285,0.0,1
MSitAE-APRIL-2022,RGT,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9097,0,5081,279,0,90,0,0,0,0,0,0,692,417,2529,0,29,548,0.0,0.27800373749587776,0.04583928767725624,0
MSitAE-APRIL-2022,RJE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,12418,410,7201,712,0,103,7027,0,402,377,0,3,890,878,4790,0,0,2135,0.5658721211145112,0.38573039136737,0.07070381703978096,1
MSitAE-APRIL-2022,RP5,NHS ENGLAND NORTH EAST AND YORKSHIRE ,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,12320,0,3516,0,0,0,4512,0,3,0,0,0,1224,197,2708,0,510,672,0.36623376623376624,0.2198051948051948,0.01599025974025974,1
MSitAE-APRIL-2022,RQW,NHS ENGLAND EAST OF ENGLAND ,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,9400,0,0,1087,0,0,3765,0,0,0,0,0,504,210,1395,0,0,825,0.400531914893617,0.14840425531914894,0.022340425531914895,1
MSitAE-APRIL-2022,RTD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,11716,1446,6209,0,0,542,3402,87,0,0,0,0,341,0,3328,13,0,2230,0.29037214066234207,0.28405599180607716,0.0,0
MSitAE-APRIL-2022,RTF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,8424,0,10289,0,0,0,1192,0,47,0,0,0,0,0,4783,0,39,938,0.14150047483380818,0.5677825261158594,0.0,0
MSitAE-APRIL-2022,R0B,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,11089,1319,6417,458,0,270,4645,8,323,214,0,17,636,0,4169,29,0,1265,0.4188835783208585,0.3759581567318965,0.0,1
MSitAE-APRIL-2022,RBK,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,7453,0,3707,401,0,141,2776,0,135,58,0,0,691,6,2720,0,0,652,0.37246746276667114,0.36495370991547027,0.0008050449483429492,1
MSitAE-APRIL-2022,RBN,NHS ENGLAND NORTH WEST ,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,9480,0,4867,147,0,0,4723,0,95,24,0,0,318,0,4358,0,0,304,0.49820675105485235,0.459704641350211,0.0,1
MSitAE-APRIL-2022,RCU,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,4428,0,61,257,0,3,310,0,0,22,0,0,0,0,768,0,0,162,0.07000903342366757,0.17344173441734417,0.0,0
MSitAE-APRIL-2022,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5291,0,9692,0,0,0,3147,0,315,0,0,0,434,663,1757,0,29,1050,0.5947835947835948,0.33207333207333206,0.12530712530712532,1
MSitAE-APRIL-2022,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4025,0,0,67,0,29,1820,0,0,0,0,0,254,277,790,0,0,121,0.45217391304347826,0.19627329192546583,0.06881987577639752,1
MSitAE-APRIL-2022,RJZ,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,13680,0,8670,161,0,1403,6753,0,1712,64,0,266,1622,469,3531,0,0,685,0.493640350877193,0.2581140350877193,0.03428362573099415,1
MSitAE-APRIL-2022,RK5,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,9427,0,4753,20,0,55,2410,0,306,8,0,0,578,108,3292,0,0,282,0.2556486687175135,0.349209716770977,0.011456454863689403,0
MSitAE-APRIL-2022,RXK,NHS ENGLAND MIDLANDS ,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,13939,1168,9881,425,0,0,6025,205,484,33,0,0,1630,23,3067,0,0,453,0.4322404763612885,0.22003013128631896,0.0016500466317526364,1
MSitAE-APRIL-2022,RBL,NHS ENGLAND NORTH WEST ,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,7495,0,2537,212,0,213,3748,0,33,73,0,1,847,39,2012,0,0,1463,0.5000667111407605,0.2684456304202802,0.005203468979319547,1
MSitAE-APRIL-2022,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4235,0,614,96,0,37,1641,0,0,41,0,1,296,43,1078,0,0,339,0.38748524203069656,0.2545454545454545,0.010153482880755607,1
MSitAE-APRIL-2022,RHM,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,10027,1247,0,737,0,0,3312,57,0,184,0,0,295,1,3164,12,0,1312,0.33030816794654433,0.3155480203450683,9.97307270370001e-05,1
MSitAE-APRIL-2022,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,7523,579,2300,1003,0,268,0,0,0,0,0,0,1506,0,3056,0,0,2457,0.0,0.40622092250432007,0.0,0
MSitAE-APRIL-2022,RKE,NHS ENGLAND LONDON,WHITTINGTON HEALTH NHS TRUST,8787,0,0,0,0,0,2016,0,0,0,0,0,458,14,1039,0,0,67,0.2294298395356777,0.11824285876863548,0.0015932627745533173,0
MSitAE-APRIL-2022,RMC,NHS ENGLAND NORTH WEST ,BOLTON NHS FOUNDATION TRUST,9541,0,1296,81,0,18,4447,0,64,37,0,0,691,273,1941,0,43,687,0.4660937008699298,0.20343779478042134,0.028613352898019074,1
MSitAE-APRIL-2022,RN7,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,10384,0,3293,0,0,0,3505,0,5,0,0,0,657,3,2573,0,0,378,0.33753852080123264,0.24778505392912173,0.0002889060092449923,1
MSitAE-APRIL-2022,RQX,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,9722,0,0,240,0,0,1594,0,0,0,0,0,214,4,1549,0,0,180,0.16395803332647604,0.159329356099568,0.0004114379757251594,0
MSitAE-APRIL-2022,RRF,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8210,0,4721,0,0,0,3430,0,13,0,0,0,938,73,2340,0,0,431,0.4177831912302071,0.2850182704019488,0.008891595615103533,1
MSitAE-APRIL-2022,RRK,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,31037,0,506,182,0,0,14274,0,0,83,0,0,4712,271,8786,0,0,4450,0.45990269678126106,0.28308148339079164,0.008731513999420046,1
MSitAE-APRIL-2022,RTX,NHS ENGLAND NORTH WEST ,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,7895,0,2574,305,0,63,2780,0,86,69,0,3,573,257,2242,0,11,836,0.35212159594680176,0.2839772007599747,0.032552248258391384,1
MSitAE-APRIL-2022,RVR,NHS ENGLAND LONDON,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,12371,210,162,553,0,0,2990,0,0,68,0,0,830,96,1860,1,0,121,0.24169428502142107,0.1503516288093121,0.007760084067577399,0
MSitAE-APRIL-2022,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,3765,0,10493,0,0,0,0,0,0,0,0,0,316,5,1456,0,588,2008,0.0,0.38671978751660024,0.0013280212483399733,0
MSitAE-APRIL-2022,RWD,NHS ENGLAND MIDLANDS ,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,10915,0,5729,11,0,0,5629,0,520,0,0,0,1271,745,3569,0,0,949,0.5157123224919835,0.32698121850664225,0.06825469537333945,1
MSitAE-APRIL-2022,RWJ,NHS ENGLAND NORTH WEST ,STOCKPORT NHS FOUNDATION TRUST,8927,0,0,403,0,0,3612,0,0,116,0,0,1185,68,2744,0,0,665,0.4046152122773608,0.3073820992494679,0.007617340651954744,1
MSitAE-APRIL-2022,RWP,NHS ENGLAND MIDLANDS ,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,11287,0,5443,442,0,21,5506,0,3,137,0,0,1166,221,3131,0,0,1160,0.48781784353681223,0.2773987773544786,0.019580047842650838,1
MSitAE-APRIL-2022,RXC,NHS ENGLAND SOUTH EAST ,EAST SUSSEX HEALTHCARE NHS TRUST,8876,0,1711,881,0,914,3603,0,25,0,0,0,317,0,3256,0,0,513,0.4059260928346102,0.3668319062640829,0.0,1
MSitAE-APRIL-2022,RXP,NHS ENGLAND NORTH EAST AND YORKSHIRE ,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,11958,0,4365,0,0,3683,6267,0,0,0,0,0,1889,22,5185,0,0,812,0.5240842950326141,0.4336009366114735,0.0018397725372135808,1
MSitAE-APRIL-2022,RXR,NHS ENGLAND NORTH WEST ,EAST LANCASHIRE HOSPITALS NHS TRUST,10136,0,6481,0,0,0,4655,0,292,0,0,0,713,771,4017,0,22,1120,0.4592541436464088,0.39631018153117603,0.0760655090765588,1
MSitAE-APRIL-2022,R1F,NHS ENGLAND SOUTH EAST ,ISLE OF WIGHT NHS TRUST,3258,0,2046,24,0,27,1224,0,0,7,0,0,477,39,1076,0,0,191,0.3756906077348066,0.33026396562308163,0.011970534069981584,1
MSitAE-APRIL-2022,RA2,NHS ENGLAND SOUTH EAST ,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,5939,0,1,480,0,0,2570,0,1,0,0,0,46,1,2345,0,1,627,0.43273278329685133,0.39484761744401414,0.00016837851490149856,1
MSitAE-APRIL-2022,RA7,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,13286,1949,0,0,0,0,5809,55,0,0,0,0,868,809,3402,10,0,814,0.43722715640523857,0.256059009483667,0.06089116363088966,1
MSitAE-APRIL-2022,RAP,NHS ENGLAND LONDON,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,8071,412,7455,833,0,0,4007,11,1120,182,0,0,865,302,1718,0,0,297,0.49646883905340106,0.2128608598686656,0.037417915995539584,1
MSitAE-APRIL-2022,RBT,NHS ENGLAND NORTH WEST ,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6733,0,2256,93,0,35,3985,0,25,21,0,0,757,169,2409,0,0,756,0.591860983216991,0.3577899896034457,0.02510025248774692,1
MSitAE-APRIL-2022,RCB,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,8961,361,8281,0,0,270,4690,0,510,0,0,12,855,750,3493,5,0,1399,0.5233790871554515,0.3898002455083138,0.08369601606963509,1
MSitAE-APRIL-2022,RD1,NHS ENGLAND SOUTH WEST ,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,7259,0,0,0,0,0,3073,0,0,0,0,0,1059,7,2241,0,8,1236,0.42333654773384766,0.3087202093952335,0.0009643201542912247,1
MSitAE-APRIL-2022,RD8,NHS ENGLAND EAST OF ENGLAND ,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,7580,0,4991,544,0,111,1913,0,72,114,0,0,373,0,1543,0,0,504,0.25237467018469656,0.20356200527704485,0.0,0
MSitAE-APRIL-2022,RDE,NHS ENGLAND EAST OF ENGLAND ,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,13698,0,9292,83,0,282,5802,0,98,1,0,0,1152,8,3993,0,187,1262,0.42356548401226457,0.2915024091108191,0.0005840268652358008,1
MSitAE-APRIL-2022,RFS,NHS ENGLAND MIDLANDS ,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,2918,0,4784,139,0,193,1206,0,709,20,0,19,503,4,1925,0,561,612,0.4132967786154901,0.659698423577793,0.0013708019191226869,1
MSitAE-APRIL-2022,RJ2,NHS ENGLAND LONDON,LEWISHAM AND GREENWICH NHS TRUST,13443,0,9643,188,0,567,4902,0,931,18,0,118,1373,415,3831,0,0,968,0.36465074760098193,0.28498103101986166,0.030871085323216543,1
MSitAE-APRIL-2022,RJ6,NHS ENGLAND LONDON,CROYDON HEALTH SERVICES NHS TRUST,12060,0,4484,131,0,0,4254,0,0,40,0,0,512,199,1149,0,0,285,0.3527363184079602,0.09527363184079601,0.01650082918739635,1
MSitAE-APRIL-2022,RJ7,NHS ENGLAND LONDON,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10398,0,978,903,0,0,2963,0,0,146,0,0,458,466,2417,0,0,797,0.28495864589344105,0.2324485477976534,0.04481631082900558,0
MSitAE-APRIL-2022,RKB,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,11229,1573,6273,112,0,66,5941,108,256,54,0,1,1321,13,3146,87,93,1642,0.5290764983524802,0.28016742363523023,0.0011577166265918605,1
MSitAE-APRIL-2022,RM1,NHS ENGLAND EAST OF ENGLAND ,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,9573,0,8025,511,0,0,5152,0,1,226,0,0,895,399,2199,0,0,1297,0.5381802987569205,0.22970855531181447,0.04167972422438107,1
MSitAE-APRIL-2022,RN5,NHS ENGLAND SOUTH EAST ,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,10813,0,271,12,0,204,4195,0,0,4,0,0,961,2,3330,0,0,844,0.38795893831499123,0.3079626375658929,0.00018496254508462037,1
